facility,rating,review_text
홈플러스해운대점,5,접근성이 좋아요 청결하고 깔끔해요 편의성이 뛰어납니다 수유실이 넓어서 좋아요 위치가 찾기 쉬워요
홈플러스해운대점,5,조명이 적당해서 좋아요 직원이 매우 친절해요 편의성이 뛰어납니다
홈플러스해운대점,2,접근성이 나빠요 불편해서 불만족스러워요 직원이 불친절해요
홈플러스해운대점,4,유모차를 놓을 공간이 충분해요 직원이 매우 친절해요 편의성이 뛰어납니다 위치가 찾기 쉬워요
홈플러스해운대점,4,청결하고 깔끔해요 사생활이 잘 보호되어요 유모차를 놓을 공간이 충분해요 조명이 적당해서 좋아요 소음이 없어서 편안해요
홈플러스해운대점,4,안전하게 느껴져요 대기 시간이 거의 없어요 사생활이 잘 보호되어요
홈플러스해운대점,5,수유실이 넓어서 좋아요 조명이 적당해서 좋아요 청결하고 깔끔해요 편의성이 뛰어납니다
홈플러스해운대점,5,청결하고 깔끔해요 직원이 매우 친절해요 기저귀 교환대가 청결해요 대기 시간이 거의 없어요 사생활이 잘 보호되어요
홈플러스해운대점,4,청결하고 깔끔해요 소음이 없어서 편안해요 안전하게 느껴져요 온도 조절이 잘 되어 있어요 사생활이 잘 보호되어요
홈플러스해운대점,4,사생활이 잘 보호되어요 위치가 찾기 쉬워요 대기 시간이 거의 없어요
홈플러스해운대점,5,수유실이 넓어서 좋아요 접근성이 좋아요 청결하고 깔끔해요
홈플러스해운대점,5,조명이 적당해서 좋아요 접근성이 좋아요 의자와 테이블이 편안해요 기저귀 교환대가 청결해요
홈플러스해운대점,4,편의성이 뛰어납니다 소음이 없어서 편안해요 위치가 찾기 쉬워요
홈플러스해운대점,4,직원이 매우 친절해요 유모차를 놓을 공간이 충분해요 소음이 없어서 편안해요
홈플러스해운대점,5,유모차를 놓을 공간이 충분해요 대기 시간이 거의 없어요 조명이 적당해서 좋아요 온도 조절이 잘 되어 있어요 직원이 매우 친절해요
홈플러스해운대점,5,안전하게 느껴져요 소음이 없어서 편안해요
